,Unnamed: 0,name,coordinates,category,location,rating,review_count,state
58682,58682,Bad Daddys Burger Bar,"{'latitude': 35.261175234334, 'longitude': -81.1405124142766}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]","{'address1': '2211 E Franklin Blvd', 'address2': 'Ste 1C', 'address3': None, 'city': 'Gastonia', 'zip_code': '28052', 'country': 'US', 'state': 'NC', 'display_address': ['2211 E Franklin Blvd', 'Ste 1C', 'Gastonia, NC 28052']}",3.5,76,NC
58707,58707,Starbucks,"{'latitude': 37.465888, 'longitude': -121.174646}","[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '2952 Speno Dr', 'address2': '', 'address3': '', 'city': 'Patterson', 'zip_code': '95363', 'country': 'US', 'state': 'CA', 'display_address': ['2952 Speno Dr', 'Patterson, CA 95363']}",2.5,188,CA
58713,58713,Pizza Factory,"{'latitude': 37.4667327710883, 'longitude': -121.176844571164}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '2985 Renzo Ln', 'address2': 'Ste H&l', 'address3': '', 'city': 'Patterson', 'zip_code': '95363', 'country': 'US', 'state': 'CA', 'display_address': ['2985 Renzo Ln', 'Ste H&l', 'Patterson, CA 95363']}",3.0,58,CA
58717,58717,Carl's Jr. / Green Burrito,"{'latitude': 37.4653756, 'longitude': -121.175545}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '65 Rogers Rd', 'address2': '', 'address3': '', 'city': 'Patterson', 'zip_code': '95363', 'country': 'US', 'state': 'CA', 'display_address': ['65 Rogers Rd', 'Patterson, CA 95363']}",3.0,45,CA
58718,58718,Jack in the Box,"{'latitude': 37.4655327, 'longitude': -121.175342202187}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '15050 Rogers Rd', 'address2': '', 'address3': '', 'city': 'Patterson', 'zip_code': '95363', 'country': 'US', 'state': 'CA', 'display_address': ['15050 Rogers Rd', 'Patterson, CA 95363']}",3.0,42,CA
58722,58722,Wendy's,"{'latitude': 37.465221226251, 'longitude': -121.164990187446}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'address1': '2275 Sperry Avenue', 'address2': '', 'address3': None, 'city': 'Patterson', 'zip_code': '95363', 'country': 'US', 'state': 'CA', 'display_address': ['2275 Sperry Avenue', 'Patterson, CA 95363']}",3.0,26,CA
58735,58735,Chick-fil-A,"{'latitude': 38.728145, 'longitude': -77.799231}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '256 W Lee Hwy', 'address2': '', 'address3': '', 'city': 'Warrenton', 'zip_code': '20186', 'country': 'US', 'state': 'VA', 'display_address': ['256 W Lee Hwy', 'Warrenton, VA 20186']}",4.0,54,VA
58772,58772,Pizza Hut,"{'latitude': 38.4146741, 'longitude': -87.7684074640274}","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': '306 W 9th St', 'address2': '', 'address3': '', 'city': 'Mount Carmel', 'zip_code': '62863', 'country': 'US', 'state': 'IL', 'display_address': ['306 W 9th St', 'Mount Carmel, IL 62863']}",2.5,3,IL
58775,58775,McDonald's,"{'latitude': 38.4157346083125, 'longitude': -87.7635231614113}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '111 E 9th St', 'address2': '', 'address3': '', 'city': 'Mt. Carmel', 'zip_code': '62863', 'country': 'US', 'state': 'IL', 'display_address': ['111 E 9th St', 'Mt. Carmel, IL 62863']}",2.0,4,IL
58776,58776,Subway,"{'latitude': 38.413697, 'longitude': -87.7667639059534}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '801 Walnut St', 'address2': '', 'address3': '', 'city': 'Mount Carmel', 'zip_code': '62863', 'country': 'US', 'state': 'IL', 'display_address': ['801 Walnut St', 'Mount Carmel, IL 62863']}",1.5,2,IL
58790,58790,McDonald's,"{'latitude': 38.9768427590185, 'longitude': -89.1011493362021}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '820 Veterans Ave', 'address2': '', 'address3': '', 'city': 'Vandalia', 'zip_code': '62471', 'country': 'US', 'state': 'IL', 'display_address': ['820 Veterans Ave', 'Vandalia, IL 62471']}",3.5,5,IL
